"","fipscode","state","county","county_ranked","freq_mental_distress","unemployment","food_insecurity","suicides","alcohol_impaired_driving_deaths","mental_distress_level","unemployment_level"
"20","24041","MD","Talbot County",1,13.2,6.01372637,11.8,13.078194227,41.66666667,"high","normal"
"21","24043","MD","Washington County",1,15.1,6.74525123,14.1,14.663504419,22.61904762,"high","normal"
"22","24045","MD","Wicomico County",1,15.3,7.45096452,13.6,11.202651053,27.27272727,"high","high"
"23","24047","MD","Worcester County",1,14.3,11.16518409,13.9,11.237507027,40.32258065,"high","high"
"24","24510","MD","Baltimore city",1,16,8.78596806,15.8,8.8465739824,20.25316456,"high","high"
"25","25001","MA","Barnstable County",1,13.2,10.22399379,7.1,14.084782543,38.80597015,"high","high"
"26","25003","MA","Berkshire County",1,14.9,9.13131641,9.8,15.144954356,20.58823529,"high","high"
"27","25005","MA","Bristol County",1,16,10.24624232,9.8,11.827884531,30.35714286,"high","high"
"28","25007","MA","Dukes County",1,13.6,9.21508879,7.4,15.716056793,50,"high","high"
"29","25009","MA","Essex County",1,12.9,9.78753678,7.6,9.2678411382,26.1627907,"low","high"
"30","25011","MA","Franklin County",1,14.7,7.43272322,9.1,11.299722301,24.24242424,"high","high"
"31","25013","MA","Hampden County",1,15.2,10.39094884,10.9,9.9015876128,34.34343434,"high","high"
"32","25015","MA","Hampshire County",1,14.4,7.21915457,8,9.5815543322,26.82926829,"high","high"
"33","25017","MA","Middlesex County",1,12,7.27483517,6.4,8.2698605453,25,"low","high"
"34","25019","MA","Nantucket County",1,12.2,10.32098121,7.4,NA,33.33333333,"low","high"
"35","25021","MA","Norfolk County",1,11.9,8.34944917,5.9,7.9353477122,30.11363636,"low","high"
"36","25023","MA","Plymouth County",1,13.9,9.45098705,6.1,10.107884993,35.02824859,"high","high"
"37","25025","MA","Suffolk County",1,13.5,9.66727726,10.6,5.8232849487,29.50819672,"high","high"
"38","25027","MA","Worcester County",1,13.6,8.7786021,8.2,9.5712561883,35.2,"high","high"
"39","36001","NY","Albany County",1,13.4,7.18190255,10.4,9.2586752835,25.27472527,"high","high"
"40","36003","NY","Allegany County",1,16.5,8.06807438,13.8,18.635277755,37.5,"high","high"
"41","36005","NY","Bronx County",1,15.3,16.03090885,16.4,5.3247816225,13.04347826,"high","high"
"42","36007","NY","Broome County",1,15.2,8.66820518,13.4,11.234193872,36.06557377,"high","high"
"43","36009","NY","Cattaraugus County",1,16.8,9.41403657,13.8,16.374068893,26.82926829,"high","high"
"44","36011","NY","Cayuga County",1,15.6,7.90298444,11.4,11.904217503,35.13513514,"high","high"
"45","36013","NY","Chautauqua County",1,16.1,8.91729409,13.9,13.373603837,15.09433962,"high","high"
"46","36015","NY","Chemung County",1,15.5,8.75529213,12.1,14.295174691,21.42857143,"high","high"
"47","36017","NY","Chenango County",1,16.2,6.88878676,12.9,15.938910932,15.625,"high","normal"
"48","36019","NY","Clinton County",1,15.5,7.96682371,13,11.533415086,13.79310345,"high","high"
"49","36021","NY","Columbia County",1,14.1,6.19617935,10.3,16.219484081,27.02702703,"high","normal"
"50","36023","NY","Cortland County",1,15.7,7.94993987,12.5,9.7107910364,33.33333333,"high","high"
"51","36025","NY","Delaware County",1,15.8,7.19888256,13.6,19.555549225,16.12903226,"high","high"
"52","36027","NY","Dutchess County",1,13.2,7.66431322,8.5,11.746824439,16.82242991,"high","high"
"53","36029","NY","Erie County",1,14.2,9.50508888,11.4,10.679856891,22.32142857,"high","high"
"54","36031","NY","Essex County",1,14.3,8.13657828,11,9.5132500736,25,"high","high"
"55","36033","NY","Franklin County",1,16.1,8.20440694,13.7,11.561764457,29.41176471,"high","high"
"56","36035","NY","Fulton County",1,16.4,8.61877471,13.3,15.395537183,13.63636364,"high","high"
"57","36037","NY","Genesee County",1,15.1,7.35101167,10.7,11.846201404,20.83333333,"high","high"
"58","36039","NY","Greene County",1,15.3,8.29840738,11.6,15.83724676,20.58823529,"high","high"
"59","36041","NY","Hamilton County",1,16.7,7.89350771,13.2,NA,0,"high","high"
"60","36043","NY","Herkimer County",1,15.9,8.18866689,12.6,11.827558061,15.625,"high","high"
"61","36045","NY","Jefferson County",1,15.5,8.66843746,13.6,14.35361431,42.22222222,"high","high"
"62","36047","NY","Kings County",1,13.1,12.53359742,13.5,5.2720631765,10.1010101,"low","high"
"63","36049","NY","Lewis County",1,16.2,7.67407147,11.9,18.760699483,56.25,"high","high"
"64","36051","NY","Livingston County",1,14.9,7.0530656,10.3,15.494823678,15.38461538,"high","high"
"65","36053","NY","Madison County",1,14.8,7.79665197,9.9,10.323776177,13.79310345,"high","high"
"66","36055","NY","Monroe County",1,13.8,8.56501131,11.3,10.419690974,19.81981982,"high","high"
"67","36057","NY","Montgomery County",1,16.3,8.77814089,14.4,12.199057507,10.52631579,"high","high"
"68","36059","NY","Nassau County",1,11.6,8.42802407,4.9,6.2151961073,17.4386921,"low","high"
"69","36061","NY","New York County",1,11.9,9.54319244,12.7,7.2103674154,8.88888889,"low","high"
"70","36063","NY","Niagara County",1,15.4,10.39600428,11.8,12.628133334,10.84337349,"high","high"
"71","36065","NY","Oneida County",1,15,8.12236706,12.4,12.153204757,34.83146067,"high","high"
"72","36067","NY","Onondaga County",1,14.4,8.36617789,11.1,10.252791222,29.28571429,"high","high"
"73","36069","NY","Ontario County",1,13.8,7.26824875,9.4,13.626175255,21.73913043,"high","high"
"74","36071","NY","Orange County",1,13.3,8.35293155,9.1,9.0108347771,26.4516129,"high","high"
"75","36073","NY","Orleans County",1,16.2,8.35763443,11.9,11.299160476,12.5,"high","high"
"76","36075","NY","Oswego County",1,16.3,8.92566416,13.4,13.554005931,32.91139241,"high","high"
"77","36077","NY","Otsego County",1,15.1,7.21990454,12,11.148746231,35.29411765,"high","high"
"78","36079","NY","Putnam County",1,12.1,7.55805827,6,7.1440683655,14.81481481,"low","high"
"79","36081","NY","Queens County",1,12.1,12.53238357,9.7,6.109051522,17.59530792,"low","high"
"80","36083","NY","Rensselaer County",1,14.3,6.98062999,10.9,11.101562949,20.51282051,"high","normal"
"81","36085","NY","Richmond County",1,13.4,10.6394269,8.7,6.7537459848,15.78947368,"high","high"
"82","36087","NY","Rockland County",1,12.4,8.0809402,9,6.5906914381,4.34782609,"low","high"
"83","36089","NY","St. Lawrence County",1,16,8.1695991,14.2,10.888226936,20,"high","high"
"84","36091","NY","Saratoga County",1,13.1,6.70537522,8.1,10.379246809,18.60465116,"low","normal"
"85","36093","NY","Schenectady County",1,14,8.06239844,10.3,8.7027351893,31.70731707,"high","high"
"86","36095","NY","Schoharie County",1,15.3,7.11911357,11.6,12.581036217,2.5,"high","high"
"87","36097","NY","Schuyler County",1,16.1,8.6038961,13.5,24.512750857,22.22222222,"high","high"
"88","36099","NY","Seneca County",1,15.5,8.17667937,11.5,14.774290235,27.27272727,"high","high"
"89","36101","NY","Steuben County",1,15.5,8.16239113,12.3,14.687781773,30.43478261,"high","high"
"90","36103","NY","Suffolk County",1,12.3,8.49516849,6,8.3378958033,22.38325282,"low","high"
"91","36105","NY","Sullivan County",1,14.6,8.82879356,11.7,12.878107117,23.91304348,"high","high"
